,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,A free copy of Mastering The Interview,Last Notable Activity
0,Api,Olark chat,No,No,0,0.0,0,0.0,Page visited on website,No Details,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
1,Api,Organic search,No,No,0,5.0,674,2.5,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Email opened
2,Landing page submission,Direct traffic,No,No,1,2.0,1532,2.0,Email opened,India,Business administration,Student,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
3,Landing page submission,Direct traffic,No,No,0,1.0,305,1.0,Unreachable,India,Media and advertising,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,No,Modified
4,Landing page submission,Google,No,No,1,2.0,1428,1.0,Converted to lead,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
5,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
6,Landing page submission,Google,No,No,1,2.0,1640,2.0,Email opened,India,Supply chain management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
7,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
8,Landing page submission,Direct traffic,No,No,0,2.0,71,2.0,Email opened,India,It projects management,No Details,No Details,No,No,No,No,No,No,No Details,Yes,Email opened
9,Api,Google,No,No,0,4.0,58,4.0,Email opened,India,Finance management,No Details,No Details,No,No,No,No,No,No,No Details,No,Email opened
10,Landing page submission,Organic search,No,No,1,8.0,1351,8.0,Email opened,India,Travel and tourism,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,Yes,Email opened
11,Landing page submission,Direct traffic,No,No,1,8.0,1343,2.67,Page visited on website,India,Human resource management,Unemployed,Better career prospects,No,No,No,No,No,No,Lost to eins,Yes,Page visited on website
12,Api,Organic search,No,No,1,11.0,1538,11.0,Email opened,India,Marketing management,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Modified
13,Landing page submission,Organic search,No,No,0,5.0,170,5.0,Email opened,India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,Ringing,Yes,Email opened
14,Landing page submission,Direct traffic,Yes,No,0,1.0,481,1.0,Email bounced,Outside India,Business administration,Unemployed,Better career prospects,No,No,No,No,No,No,No Details,No,Email bounced
15,Api,Organic search,No,No,1,6.0,1012,6.0,Email opened,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Will revert after reading the email,No,Email opened
16,Api,Olark chat,No,No,0,0.0,0,0.0,Olark chat conversation,No Details,No Details,No Details,No Details,No,No,No,No,No,No,No Details,No,Modified
17,Api,Referral sites,No,No,0,6.0,973,6.0,Email link clicked,India,No Details,Unemployed,Better career prospects,No,No,No,No,No,No,Interested in other courses,No,Modified
